saving only one halfx,y
5.351865421456400185e+01,1.318568721651307918e+01
5.351570950178345498e+01,1.340008863466776035e+01
5.351269933756324804e+01,1.361449005282245395e+01
5.350962315106391998e+01,1.382889147097713511e+01
5.350648035164049787e+01,1.404329288913181628e+01
5.350327032851843256e+01,1.425769430728649745e+01
5.349999245045457030e+01,1.447209572544119105e+01
5.349664606538295430e+01,1.468649714359587044e+01
5.349323050004482383e+01,1.490089856175055161e+01
5.349315382959372300e+01,1.490562871055857741e+01
5.348936630738146647e+01,1.511529997990524521e+01
5.348541516030933707e+01,1.532970139805992638e+01
5.348138475641227529e+01,1.554410281621460754e+01
5.347727424895969506e+01,1.575850423436928693e+01
5.347308276533993876e+01,1.597290565252398231e+01
5.346880940653396408e+01,1.618730707067866348e+01
5.346445324656786369e+01,1.640170848883334287e+01
5.346001333194330840e+01,1.661610990698802226e+01
5.345548868104540929e+01,1.683051132514271941e+01
5.345087828352721004e+01,1.704491274329739880e+01
5.344618109966990716e+01,1.725931416145207820e+01
5.344139605971819407e+01,1.747371557960675759e+01
5.343652206318969178e+01,1.768811699776145474e+01
5.343155797815765595e+01,1.790251841591613413e+01
5.342650264050600839e+01,1.811691983407081352e+01
5.342135485315571231e+01,1.833132125222551068e+01
5.341611338526136876e+01,1.854572267038019007e+01
5.341077697137715319e+01,1.876012408853486946e+01
5.340534431059068510e+01,1.897452550668954885e+01
5.339981406562386468e+01,1.918892692484424600e+01
5.339418486189925517e+01,1.940332834299892539e+01
5.338845528657089545e+01,1.961772976115360478e+01
5.338262388751785181e+01,1.983213117930828773e+01
5.337668917229945720e+01,2.004653259746298133e+01
5.337064960707035510e+01,2.026093401561766072e+01
5.336450361545402643e+01,2.047533543377234011e+01
5.335824957737289509e+01,2.068973685192703726e+01
5.335188582783352729e+01,2.090413827008171666e+01
5.334541065566475027e+01,2.111853968823639605e+01
5.333882230220717702e+01,2.133294110639107899e+01
5.333211895995157903e+01,2.154734252454577259e+01
5.332529877112454386e+01,2.176174394270045198e+01
5.331835982621863934e+01,2.197614536085513137e+01
5.331130016246510195e+01,2.219054677900981432e+01
5.330411776224652698e+01,2.240494819716450792e+01
5.329681055144663304e+01,2.261934961531918375e+01
5.328937639773483426e+01,2.283375103347387025e+01
5.328181310878235877e+01,2.304815245162856385e+01
5.327875241143904361e+01,2.313369781066643327e+01
5.327411843040704298e+01,2.326255386978324324e+01
5.326629004464368222e+01,2.347695528793792263e+01
5.325832556773627857e+01,2.369135670609260558e+01
5.325022254804905231e+01,2.390575812424729918e+01
5.324197846389211008e+01,2.412015954240197857e+01
5.323359072125811764e+01,2.433456096055666151e+01
5.322505665146559295e+01,2.454896237871134090e+01
5.321637350870471295e+01,2.476336379686603451e+01
5.320753846748069549e+01,2.497776521502071390e+01
5.319854861995025175e+01,2.519216663317539684e+01
5.318940097314561655e+01,2.540656805133009044e+01
5.318009244608109753e+01,2.562096946948476983e+01
5.317061986673601837e+01,2.583537088763945277e+01
5.316097996890835020e+01,2.604977230579413217e+01
5.315116938893243770e+01,2.626417372394882577e+01
5.314118466225406223e+01,2.647857514210350516e+01
5.313102221985577245e+01,2.669297656025818810e+01
5.312067838452487933e+01,2.690737797841286749e+01
5.311014936695596589e+01,2.712177939656756109e+01
5.309943126167962646e+01,2.733618081472224404e+01
5.308852004280829817e+01,2.755058223287692343e+01
5.307741155958965606e+01,2.776498365103161703e+01
5.306610153175752487e+01,2.797938506918629642e+01
5.306435099328435712e+01,2.801216165859050022e+01
5.305458554466947874e+01,2.819378648734097936e+01
5.304285904421988107e+01,2.840818790549565875e+01
5.303091733151610043e+01,2.862258932365035236e+01
5.301875555730521938e+01,2.883699074180503530e+01
5.300636871613743040e+01,2.905139215995971469e+01
5.299375164025186535e+01,2.926579357811439408e+01
5.298089899316901352e+01,2.948019499626908768e+01
5.296780526297379055e+01,2.969459641442377063e+01
5.295446475527132435e+01,2.990899783257845002e+01
5.294087158579720409e+01,3.012339925073314362e+01
5.292701967266198437e+01,3.033780066888782656e+01
5.291290272820911866e+01,3.055220208704250595e+01
5.289851425046346378e+01,3.076660350519718534e+01
5.288384751414643858e+01,3.098100492335187894e+01
5.286889556123193046e+01,3.119540634150656189e+01
5.285365119101557241e+01,3.140980775966124128e+01
5.284994957512966351e+01,3.146117742375188797e+01
5.283810694966791743e+01,3.162420917781592067e+01
